,province_name,year,value
0,Aceh,1980,1.0462043196937938
1,SumateraUtara,1980,-2.89953154943573
2,SumateraBarat,1980,-3.6970852293690815
3,Riau,1980,1.2929098030180854
4,Jambi,1980,3.7558772254213113
5,SumateraSelatan,1980,2.521038344078724
6,Bengkulu,1980,6.562403499742666
7,Lampung,1980,35.67803936703975
8,Aceh,1985,0.7483368267565843
9,SumateraUtara,1985,-3.699978706792533
10,SumateraBarat,1985,-3.53757225433526
11,Riau,1985,1.331211841953692
12,Jambi,1985,1.0823075703946325
13,SumateraSelatan,1985,-0.18609320212645628
14,Bengkulu,1985,2.483787956767885
15,Lampung,1985,3.2065611732921653
16,Aceh,1990,0.3160940490294359
17,SumateraUtara,1990,-6.02473560934062
18,SumateraBarat,1990,-2.71620956831878
19,Riau,1990,4.393560649694735
20,Jambi,1990,3.8229172169686723
21,SumateraSelatan,1990,0.37764393168193644
22,Bengkulu,1990,6.97838394235718
23,Lampung,1990,5.896642223079892
24,Aceh,1995,-0.9104164768067073
25,SumateraUtara,1995,-3.3932500532330185
26,SumateraBarat,1995,-0.3736317796089042
27,Riau,1995,0.6089736205506278
28,Jambi,1995,0.23044006550795076
29,SumateraSelatan,1995,-1.674075330844927
30,Bengkulu,1995,3.8849716932578486
31,Lampung,1995,-3.991895021227325
32,Aceh,2000,-6.662353048391506
33,SumateraUtara,2000,-7.759031868833842
34,SumateraBarat,2000,-7.682265404009347
35,Riau,2000,7.778683331413432
36,Jambi,2000,1.3834856569285223
37,SumateraSelatan,2000,0.3193643253025676
38,Bengkulu,2000,4.24613998970664
39,Lampung,2000,-0.018911617136240833
40,Aceh,2005,0.0
41,SumateraUtara,2005,-3.356093406203421
42,SumateraBarat,2005,-1.260976509654409
43,Riau,2005,3.3139327266443956
44,Jambi,2005,0.7913783084156585
45,SumateraSelatan,2005,-1.1530935414545866
46,Bengkulu,2005,0.3455995882655687
47,Lampung,2005,-1.4674642994982632
48,Aceh,2010,1.147589537956803
49,SumateraUtara,2010,-8.825395698772091
50,SumateraBarat,2010,-1.2623908498339687
51,Riau,2010,4.871069001267135
52,Jambi,2010,3.0337048972476093
53,SumateraSelatan,2010,-0.3511480601741884
54,Bengkulu,2010,2.691327843540916
55,Lampung,2010,-4.784330374372829
56,Aceh,2015,0.04406269935295726
57,SumateraUtara,2015,-4.5206544112428135
58,SumateraBarat,2015,-0.044397983027917844
59,Riau,2015,2.40867987559037
60,Jambi,2015,0.0412066141898674
61,SumateraSelatan,2015,-0.9769256871394638
62,Bengkulu,2015,1.4278178075141534
63,Lampung,2015,-3.3406406792744114
